Key,Value
Bounty_desc_STAR5_7,Remove the assassins from the Turon Empire who are aiming to kill Catalina. What kind of grudge are they bearing…?
Bounty_desc_STAR5_8,"With Lane, eradicate the rebel forces trying to take advantage of the chaos caused by the Demon King and take over Helvetia."
Bounty_desc_STAR5_9,"With Ivana, defeat the Demon King’s army that infiltrated into the ancient temple of vampire."
Bounty_desc_STAR5_10,Demon King’s army has infiltrated into the blacksmith guild “Gigantic Anvil.” Help Crissy in defeating them!
Bounty_desc_STAR5_11,Follow Natalia in search of the legendary treasure marked on her treasure map. Let it be real this time…
Bounty_desc_STAR5_12,Liberate the port taken over by a gigantic Kraken. You’ll be able to eat fish BBQ after that.
Bounty_desc_STAR5_13,Guard the merchant group who are transporting expensive goods. The pay for you will be quite handsome!
Bounty_desc_STAR5_14,Remove the huge Mushroom Kid appeared at Great Wall. People are unable to get near it because of its nasty stench.
Bounty_desc_STAR6_1,Help Teresa and defeat the Demon King’s army that infiltrated into a temple of the Goddess. How did the Demon King’s army get into a place like that?
Bounty_desc_STAR6_2,"With Maria, drive out the heathens who are secretly worshipping the Demon King in town."
Bounty_desc_STAR6_3,Ruin is looking for someone to fight the monsters of the void with her. She said they were terrible things.
Bounty_desc_STAR6_4,Behemo is asking to close an unstable dimensional gate which is about to explode. Wonder what’s on the other side of that door?
Bounty_desc_STAR6_5,The townsfolk are getting exhausted due to a sudden rise in temperature. Lower the temperature with Natasha!
Bounty_desc_STAR6_6,"Margaret is looking for an applicant who will enter the sword-fight contest, which is held by the Goddess, with her."
Bounty_desc_STAR6_7,Angela is looking for someone to help her in the annual Goddess’s Day Festival. What a grand festival!
Bounty_desc_STAR6_8,Bianca is looking for the wings of the archangel. She said you can name your price!
Bounty_desc_STAR6_9,"Take Urobo, who got lost in the territory of the Demon King’s army, and escape. They are coming!"
Bounty_desc_STAR6_10,Save Candy from the lab which is about to explode due to a strange alchemy experiment!
Bounty_desc_STAR6_11,Investigate the mysterious mirrors which have been handed down from ancient times and gather information about them.
Bounty_desc_STAR6_12,The Demon King’s army is making suspicious movements lately. Check them and find out what they are planning.
Bounty_desc_STAR6_13,A request to save the townsfolk who are in danger of being executed by the Demon King’s army. Hurry up!
Bounty_desc_STAR6_14,The whole city is on fire! Extinguish flames and save people!
Lvup1_Desc,Lv. 1<%enter%><%enter%>Request Rank<%enter%><%enter%><color=#B9FF97>★</color>
Lvup2_Desc,Lv. 2<%enter%>Request Rank<%enter%><%enter%><color=#B9FF97>★</color><%enter%><color=#84F5FF>★★</color><%enter%><color=#BD5CFF>★★★</color>
Lvup3_Desc,Lv. 3<%enter%>Request Rank<%enter%><%enter%><color=#B9FF97>★</color><%enter%><color=#84F5FF>★★</color><%enter%><color=#BD5CFF>★★★</color><%enter%><color=#FFE793>★★★★</color>
Lvup4_Desc,Lv. 4<%enter%>Request Rank<%enter%><%enter%><color=#84F5FF>★★</color><%enter%><color=#BD5CFF>★★★</color><%enter%><color=#FFE793>★★★★</color>
Lvup5_Desc,Lv. 5<%enter%>Request Rank<%enter%><%enter%><color=#84F5FF>★★</color><%enter%><color=#BD5CFF>★★★</color><%enter%><color=#FFE793>★★★★</color><%enter%><color=#FF8A8A>★★★★★</color>
Lvup6_Desc,Lv. 6<%enter%>Request Rank<%enter%><%enter%><color=#BD5CFF>★★★</color><%enter%><color=#FFE793>★★★★</color><%enter%><color=#FF8A8A>★★★★★</color>
Lvup7_Desc,Lv. 7<%enter%>Request Rank<%enter%><%enter%><color=#BD5CFF>★★★</color><%enter%><color=#FFE793>★★★★</color><%enter%><color=#FF8A8A>★★★★★</color><%enter%><color=#DBC7FF>★★★★★★</color>
Lvup8_Desc,Lv. 8<%enter%>Request Rank<%enter%><%enter%><color=#FFE793>★★★★</color><%enter%><color=#FF8A8A>★★★★★</color><%enter%><color=#DBC7FF>★★★★★★</color>
Lvup1_Solo_Cond,Complete ★ Rank Solo Request <%1%> time(s)
Lvup2_Solo_Cond,Complete ★ Rank Solo Request <%1%> time(s)
Lvup3_Solo_Cond,Complete ★★ Rank Solo Request <%1%> time(s)
Lvup4_Solo_Cond,Complete ★★★ Rank Solo Request <%1%> time(s)
Lvup5_Solo_Cond,Complete ★★★★ Rank Solo Request <%1%> time(s)
Lvup6_Solo_Cond,Complete ★★★★ Rank Solo Request <%1%> time(s)
Lvup7_Solo_Cond,Complete ★★★★★ Rank Solo Request <%1%> time(s)
Lvup2_Team_Cond,Complete ★ Rank Team Request <%1%> time(s)
Lvup3_Team_Cond,Complete ★★ Rank Team Request <%1%> time(s)
Lvup4_Team_Cond,Complete ★★★ Rank Team Request <%1%> time(s)
Lvup5_Team_Cond,Complete ★★★★ Rank Team Request <%1%> time(s)
Lvup6_Team_Cond,Complete ★★★★ Rank Team Request <%1%> time(s)
Lvup7_Team_Cond,Complete ★★★★★ Rank Team Request <%1%> time(s)
ui_localize_bounty_name,Request Board
ui_localize_bounty_reset,Refresh
ui_localize_bounty_resetremain,All Solo Request reset after <%1%>
ui_localize_bounty_solo,Solo Request
ui_localize_bounty_team,Team Request
ui_localize_bounty_extime,Request Time Limit: <%1%> Hour(s)
ui_localize_bounty_accept,Accept
ui_localize_bounty_state,Dispatch Situation
ui_localize_bounty_addteam,New Team Request will be added after <%1%>
ui_localize_bounty_limit,Remaining Time: <%1%> Day(s)
ui_localize_bounty_nextlv,Times Remaining Until Next Level
ui_localize_bounty_dispatch,Carried Out by
ui_localize_bounty_requestlv,Request Board<%enter%>Lv. <%1%>
ui_localize_bounty_teamdesc,Select the princess of your friend or Guildmate to carry out the request together.
ui_localize_bounty_teamdp,Friend / Guild
ui_localize_bounty_dphero,Dispatch Hero
ui_localize_bounty_dpdesc,Select the princess to help your friend or Guildmate.<%enter%>Dispatchable princesses: <%1%>/<%2%>
ui_localize_bounty_dpslot,Selected Princess is on a mission that helps a friend or guild members.
ui_localize_bounty_select,Princess to Dispatch
ui_localize_bounty_selectdesc,Select the princess to dispatch.
ui_localize_bounty_resetpopup,Would you like to spend <%1%> Stars to refresh the Request Board?
ui_localize_bounty_autofill,Auto fill
ui_localize_bounty_dispatchall,Dispatch all
ui_localize_bounty_rest,Waiting an order
ui_localize_bounty_dispatchtip,Select the princess of a Friend or a Guild Member to complete the Request.
ui_localize_bounty_allsoloclear,You have completed all Solo Requests.
ui_localize_bounty_allteamclear,You have completed all Team Requests.
ui_localize_bounty_notavailable,This princess is carrying out another Request.
ui_localize_bounty_notmatched,Does not meet the requirements for this Request.
ui_localize_bounty_nosameunit,Can not use the same princess
ui_localize_Check,OK
ui_localize_Cancellation,Cancel
ui_localize_yes,Yes
ui_localize_No,No
ui_localize_beginning,Start
ui_localize_Termination,Quit
ui_localize_Downloading resources,Downloading Resources
ui_localize_Logging in,Logging In
ui_localize_Completion,Complete
ui_localize_Recalling resource,Loading Resources
ui_localize_Update Guide,Update Notice
ui_localize_Inspection Guide,Maintenance Notice
ui_localize_quit,Would you like to quit the game?
ui_localize_version_up,The game has been updated<%enter%>Please download it from the Store
ui_localize_modifier,Currently under maintenance
msgbox_gamedownload_3g_title,Game Data Download
msgbox_gamedownload_3g_desc,Download game data.<%enter%>It is recommended to secure a stable network environment for smooth downloading.<%enter%><%1%> MB<%enter%>(Downloading in 3G / LTE environment may cause excessive data charges.)
login_fail,Login Failed
login_fail_desc,Failed to login.<%enter%>Code <%1%>
ui_localize_common_expired_token,The token has expired. Restarting the game.
ui_localize_common_wrong_gametoken,Network connection has been lost.<%enter%>Restart the game.
ui_localize_server_error_title,Server Error
ui_localize_common_http_error,Request failed due to unstable connection with the server.
ui_localize_time_sec,<%1%>S
ui_localize_time_min,<%1%>:
ui_localize_time_hour,<%1%>:
ui_localize_time_hours,<%1%> Hour(s)
ui_localize_time_day,<%1%>
ui_localize_time_month,<%1%>.
ui_localize_time_year,<%1%>.
ui_initialize_parsing_config,Resetting data information.
msgbox_missing_server_url,
ERROR_HTTP_PARAMETER_FORMAT,Invalid format.
ERROR_WRONG_GOOGLE_TOKEN,An authentication error has occurred.
ERROR_WRONG_GOOGLE_LOGIN_RESPONSE_DATA,An authentication error has occurred.
ERROR_WRONG_GOOGLE_APPID,An ID error has occurred.
ERROR_FACEBOOK1,There is an error in interlocking.
ERROR_FACEBOOK2,There is an error in interlocking.
ERROR_ALREADY_GOOGLEID_EXIST,This is an ID that has already been linked.
ERROR_ALREADY_FACEBOOKID_EXIST,This is an ID that has already been linked.
ERROR_NOT_ADMIN_ACCOUNT,An invalid attempt was made.
ERROR_NO_HERO,This hero is cannot apply for a mercenary.
ERROR_DUPLICATE_HERO,An error has occurred.
ERROR_WRONG_ID,Invalid ID.
ERROR_MAX_MY_FRIEND_SLOT,My list of friends is full.
ERROR_MAX_TARGET_FRIEND_SLOT,The other party's friend list is full.
ERROR_ALREADY_REQUESTED,You have already made a request.
ERROR_ALREADY_FRIEND,I'm already a friend.
ERROR_WRONG_GAMETOKEN,Invalid token value.
ERROR_MONGO_DB_ERROR,An error has occurred in the DB.
ERROR_EXPIRED_TOKEN,The token has expired.
ERROR_NO_PLAYER,There is no user information.
ERROR_NO_SEND_SHIPPOINT,There are no friendship points received.
ERROR_ALREADY_TAKE_SHIPPOINT,Already received friendship points.
ERROR_ALREADY_SEND_SHIPPOINT,Already sent friendship points.
ERROR_ALREADY_HAVE_GUILD,You are already a member of the guild.
ERROR_NAME_DUPLICATE,Duplicate guild name.
ERROR_DONT_HAVE_GUILD,There is no guild.
ERROR_NOT_ENOUGH_GOLD,There are not enough GOLD.
ERROR_NOT_ENOUGH_CASH,There are not enough STAR.
ERROR_NOT_ENOUGH_HEROEXP,The hero's experience points are insufficient.
ERROR_EXCEED_NICKNAME_MAX_LENGTH,The nickname limit was exceeded.
ERROR_REDIS_DB_ERROR,An error has occurred in the DB.
ERROR_WRONG_GOOGLE_PURCHASE_TOKEN,An error has occurred in the token value.
ERROR_TARGET_NO_PLAYER,There is no information for this user.
ERROR_NOT_FRIEND,"You are a user, not a friend."
ERROR_ALREADY_IN_GUILD,A user who has already joined the guild.
ERROR_WRONG_EQUIPID,Invalid ID.
ERROR_WRONG_HEROID,Invalid ID.
ERROR_ALREADY_EQUIPED,I have already wearing the equipment.
ERROR_ALREADY_UNEQUIPED,This is not the equipment you are wearing.
ERROR_MAX_STAR,Already in the best enhanced state.
ERROR_MAX_GRADE,Already in the highest ascend state.
ERROR_WRONG_ITEM_TABLEID,An error has occurred.
ERROR_NOT_ENOUGH_ITEM_COUNT,There are not enough items in stock.
ERROR_MY_ACCOUNT_ID,You cannot make friend requests yourself.
ERROR_ALREADY_REGISTERED_COUPON,This coupon number has already been used.
ERROR_TOO_LONGTIME,The battle progress time has been exceeded.
ERROR_NO_DEFENSE_DECK,The opponent's Colosseum defense setting is not set.
ERROR_ERROR_APPLE_VERIFY,​​Billing authentication failed.
ERROR_WRONG_MAILID,An error has occurred.
ERROR_ALREADY_RECVED,Rewards you have already earned.
ERROR_NOT_RECVED_YET,There is an attached reward.
ERROR_NO_ATTACHED,There is no attached reward.
ERROR_NOT_ENOUGH_FRIENDSHIP,There are not enough friendship points.
ERROR_NOT_ENOUGH_CRYSTAL,Not enough crystal shard.
ERROR_NO_AUTH,Only available to Guild Masters.
ERROR_WRONG_GUILDID,Invalid guild ID.
ERROR_GUILD_CLOSED,A guild that does not join the guild.
ERROR_NOT_ENOUGH_LEVEL,There are not enough levels.
ERROR_ALREADY_TAKED,Reward for quests you have already earned.
ERROR_NOT_ENOUGH_COUNT,Not enough quest points.
ERROR_ALREADY_EXCHANGED,Quest points you have already earned.
ERROR_NOT_ENOUGH_QUESTPOINT,Not enough quest points.
ERROR_EXCEED_NICKNAME_MIN_LENGTH,Nicknames are shorter in length.
ERROR_WRONG_SERVER_INDEX,Invalid server.
ERROR_SAME_SERVER_INDEX,This server is already selected.
ERROR_NOT_ALLOW_NICKNAME,Nickname that cannot use.
ERROR_NOT_ENOUGH_DISMISSCOIN,There are not enough disbanded coins.
ERROR_MAX_HERO_SLOT,The hero slots are full.
ERROR_NOT_ENOUGH_HERO_SLOT,There are not enough hero slots.
ERROR_MAX_LEVEL,The highest level reachable.
ERROR_WRONG_FEED_QUANTITY,The quantity of promotion materials is insufficient.
ERROR_WRONG_FEED_FACTION,The properties of promotion materials are not correct.
ERROR_DIFFERENT_FEED_TABLEID,Promotion Material Hero does not fit.
ERROR_WRONG_FEED_GRADE,The promotion material hero level is not correct.
ERROR_UNUSABLE_ITEM,This item cannot use.
ERROR_NOT_ENOUGH_HEROCARD,Not enough hero cards.
ERROR_WRONG_FACTION,Invalid elements.
ERROR_WRONG_SLOTID,Invalid ID.
ERROR_WRONG_USE_COUNT,The information is incorrect.
ERROR_WRONG_NUMBER,An error has occurred.
ERROR_WRONG_COUNT,An error has occurred.
ERROR_SERVER_EXCEPTION,An error has occurred.
ERROR_WRONG_CHOICE_COUNT,An error has occurred.
ERROR_WRONG_CHOICE_ID,An error has occurred.
ERROR_WRONG_HERO_TABLEID,An error has occurred.
ERROR_TOO_LOW_LEVEL,The level is low and cannot be initialized.
ERROR_NO_COUNT,The number of times per day has been exceeded.
ERROR_NO_NEXT_YET,The chapter cannot be moved.
ERROR_MAX_MY_REQUEST_FRIEND_SLOT,The daily maximum quantity has been exceeded.
ERROR_MAX_HIS_REQUEST_FRIEND_SLOT,The daily maximum quantity has been exceeded.
ERROR_NO_RESET_EQUIP,This is a device whose element bonus cannot be changed.
ERROR_NO_PROMOTE_EQUIP_A,An error has occurred in hero promotion.
ERROR_WRONG_CLASS_TYPE,This equipment is of a different class and cannot be worn.
ERROR_NO_REINFORCE_EQUIP,This is a non-strengthening equipment.
ERROR_NO_PROMOTE_EQUIP_B,An error has occurred in hero ascend.
ERROR_NO_PROMOTE_EQUIP_C,An error has occurred in hero ascend.
ERROR_MAX_TODAY_RECV_COUNT,The daily maximum quantity has been exceeded.
ERROR_MAX_TODAY_SEND_COUNT,The daily maximum quantity has been exceeded.
ERROR_MAX_TODAY_RECV_SEND_COUNT,The daily maximum quantity has been exceeded.
ERROR_BLACKLIST,I can't request a friend.
ERROR_ALREADY_LEND,I'm already a borrowed mercenary.
ERROR_NOT_MY_LEND,There are no mercenaries available to borrow.
ERROR_MAX_RENT_COUNT,The number of mercenaries held opponents exceeded.
ERROR_NO_RENT_REQUESTED,There are no mercenaries borrowed by him.
ERROR_NOT_RECENT_FRIEND,There are no mercenaries to borrow.
ERROR_ONLY_ALLOW_ONE_HERO_RENT,Mercenaries can no longer appear.
ERROR_FAIL_RENT_AUTH,An error has occurred.
ERROR_ALREADY_USED_MERCENARY,Mercenaries can no longer appear.
ERROR_ALREADY_BLACKLIST,A user who is already blacklisted.
ERROR_WRONG_FLOOR,The information could not be verified.
ERROR_ALREADY_CLEARED,Already cleared.
ERROR_NOT_CLEARED_YET,This is an uncleared battle.
ERROR_NO_BEGIN,An invalid battle.
ERROR_WRONG_STATISTICS,Invalid statistics.
ERROR_NO_BOSS_CAMPAIGN,Stage information cannot be checked.
ERROR_INCOMPLETE_QUEST,There are no completed quests.
ERROR_NO_MYSELF,Cannot add to blacklist.
ERROR_DIFFERENT_CHAPTER,There are no chapters in progress.
ERROR_UNLOCK_CONTENT,This is a locked function.
ERROR_DIFFERENT_TAG,Tag information is different.
ERROR_NOT_COMPLETED_YET,Not completed.
ERROR_NO_MORE_QUEST,There are no more stages of progress.
ERROR_WRONG_PACKAGEID,Invalid ID.
ERROR_NO_PURCHASE_TIME,It is not time to purchase the product.
ERROR_NO_PURCHASE_OVER_COUNT,Can no longer be purchased.
ERROR_ALREADY_SUBSCRIPTION,This item is already in use.
ERROR_ERROR_GOOGLE_VERIFY,An authentication error has occurred.
ERROR_SEASON_REST_TIME,Preparing for the new season.
ERROR_NO_CHOICE,An error has occurred in the battle.
ERROR_ALREADY_CONFIRMED,Invalid behavior.
ERROR_WRONG_MAZE_TILE,Invalid behavior.
ERROR_NO_BATTLE_DEADHERO,The team already has a dead hero.
ERROR_NO_HEAL_TARGET,There are no recoverable heroes.
ERROR_NO_ENEMY_DATA,An error has occurred in the battle tile.
ERROR_SLOT_CLEANING,This slot is currently being organized.
ERROR_SYNCHRONIZING_LEVEL,A hero who is not registered in the Crystal Room.
ERROR_NOT_PUSHED_HERO,A hero who is not registered in the Crystal Room.
ERROR_NOT_ENOUGH_MAZECOIN,You run out of Maze coins.
ERROR_LOW_RESONANCE_LEVEL,I cannot level up.
ERROR_NO_ENHANCE_ITEM,Invalid reinforcement.
ERROR_RELOGIN,Start re-login.
ERROR_NO_NORMAL_TILE,Cheat Key cannot be used.
ERROR_ALREADY_LAST,Cheat Key cannot be used.
ERROR_BALANCE_TABLE_ERROR,A data error has occurred.
PUB_ERROR_SDKINITIALIZE,SDK initialization failed.
PUB_ERROR_PLATFORMINITIALIZE,Platform initialization failed.
PUB_ERROR_FIREBASEAPP,App initialization failed.
PUB_ERROR_AUTH,Authentication failed.
PUB_ERROR_LOGIN,Login failed.
PUB_ERROR_NOTLOGIN,You are not logged in.
PUB_ERROR_LOGOUT,Logout failed.
PUB_ERROR_ALREADYLOGIN,You are already logged in.
PUB_ERROR_GETTOKEN,Failed to get credentials.
PUB_ERROR_ALREADYLINKPLATFORM,This account is already linked.
PUB_ERROR_ALREADYUNLINKPLATFORM,This account is already disconnected.
PUB_ERROR_LINKPLATFORM,Failed to link account.
PUB_ERROR_UNLINKPLATFORM,Account sync to release failed.
ui_login,Login
ui_login_platform_guest,Login with Guest
ui_login_platform_google,Login with Google
ui_login_platform_facebook,Login with Facebook
ui_login_platform_apple,Login with Apple
ui_login_account_block_desc,This account is currently suspended.<%Enter%><%Enter%>Reason of Suspension: <%1%><%Enter%>End of Suspension: <%2%>
ui_login_account_repair,Restore Account
ui_login_account_repair_desc,This account is currently undergoing the removal process.<%Enter%>Would you like to restore the account?<%Enter%><%Enter%>Restorable Until: <%1%>
ui_login_inspection,Server Maintenance
